,INDEX_,sub_smiles
0,76,CCR=N[C@@H]RCR=N[C@H]1CCCCNRC1=O
1,76,O
2,76,Cc1cccRcRc1
3,76,O
4,76,Cc2cccRcc2
5,76,OCCRO
6,76,PRRO
7,76,-c3ccccc3
8,76,=O
9,76,=O
10,76,O
0,77,C#CCN1CCNRCC1
1,77,c2cRcccc2NCRc2cccRo2
2,77,L
3,77,=O
4,77,P
0,78,CCRNc1nncRs1
1,78,=O
2,78,SRR=O
3,78,N
4,78,=O
0,79,CNRCRN[C@H]1CC[C@H]RCC1
1,79,C
2,79,=O
3,79,CCN2CCNRCC2
4,79,c3ccccRc3L
5,79,L
0,80,CCRO[C@H]Rc1ccccRc1
1,80,=O
2,80,CRNc1cccc2c1CRCRNC2=O
3,80,L
4,80,=O
5,80,=O
6,80,=O
0,81,CCRc1ccRcRcRc1
1,81,C
2,81,CRC
3,81,SRRN[C@@H]RCRN2CCNRCC2
4,81,CRC
5,81,C
6,81,=O
7,81,=O
8,81,Cc2ccccRc2
9,81,=O
10,81,CRCCN
11,81,C
12,81,CRN
13,81,=O
14,81,=N
0,82,CCR[C@H]RCRN1CCCC1
1,82,C
2,82,N
3,82,=O
0,83,CNRCRNCRN
1,83,C
2,83,=N
3,83,=N
0,84,CNRCCC=C1c2ccccc2Sc2cccRcc21
1,84,C
2,84,L
0,85,Cc1cc2cRNc1ccccc1N=C2N1CCNRCC1
1,85,s1
2,85,C
0,86,Nc1ncRc2scRnRc2[nH]1
1,86,=O
2,86,=O
3,86,[C@@H]3O[C@H]R[C@@H]R[C@H]3O
4,86,CO
5,86,O
0,87,CCRc1cccRcRc1
1,87,CRO
2,87,-c2ccccc2
3,87,F
4,87,=O
0,88,C[N+]RRC[C@H]RCCR[O-]
1,88,C
2,88,C
3,88,O
4,88,=O
0,89,NCRC1=CNRC=CC1
1,89,=O
2,89,[C@@H]2O[C@H]R[C@@H]R[C@H]2O
3,89,CO[P@@]RRO[P@@]RROC[C@H]3O[C@@H]R[C@H]R[C@@H]3O
4,89,O
5,89,=O
6,89,O
7,89,=O
8,89,O
9,89,n4cnc5cRncnc54
10,89,O
11,89,N
0,90,CC1=CRCRCR=CRC1=O
1,90,N2CC2
2,90,=O
3,90,CO
4,90,N2CC2
0,91,O=SRRCCCN1CCOCC1
1,91,=O
2,91,O
0,92,CNRCc1nnc2n1-c1cccRcc1CR=NC2
1,92,C
2,92,L
3,92,c1ccccc1
0,93,Cc1nccRcRc1O
1,93,COPRRO
2,93,C=O
3,93,=O
4,93,O
0,94,Fc1cccRcc1
1,94,CC2CCNCC2
0,95,N=C1NCR/CRS1
1,95,=O
2,95,=C/c2cccRo2
3,95,-c3cccRcc3
4,95,CRO
5,95,=O
0,96,CCRNCCRCOc1cccRcc1
1,96,C
2,96,O
3,96,COCCOCRC
4,96,C
0,97,Cc1cccRcRc1
1,97,NCCCN
2,97,[N+]R[O-]
3,97,=O
0,98,CCCCCCCCCCCC[N+]RRCCCSRRO
1,98,C
2,98,C
3,98,=O
4,98,=O
0,99,O=SRRN1CCNRCC1
1,99,=O
2,99,c1ccc2cROCCO2
3,99,SRRc2cRcccc2F
4,99,c1
5,99,=O
6,99,=O
7,99,F
0,100,CCCRO[C@]RR[C@H]RCNRC
1,100,=O
2,100,Cc1ccccc1
3,100,c1ccccc1
4,100,C
5,100,C
0,101,CCCCCCCCCCCCCCCCRSC[C@H]RCRO
1,101,=O
2,101,N
3,101,=O
0,102,COC1=CRCRCR=CRC1=O
1,102,OC
2,102,=O
3,102,C/C=CRCCC=CRC
4,102,C
5,102,\C
6,102,C
0,103,O=C1CRCRNRN1c1ccccc1
1,103,CCSRc2ccccc2
2,103,=O
3,103,c2ccccc2
4,103,=O
0,104,Oc1ncnc2nc[nH]c12
0,105,C[NH+]RCCOCRc1ccccc1.Cn1cRc2[n-]cRnc2nRc1=O
1,105,C
2,105,c1ccccc1
3,105,=O
4,105,L
5,105,C
0,106,OC1CRNC[C@H]RN1CCNCc1csc2cccRcc12
1,106,=NCC[C@H]2CCCCN2
2,106,L
3,106,L
0,107,O=CRNc1n[nH]c2cccRcc12
1,107,Cc1cccRcc1
2,107,N3CCCS3R=O
3,107,N2CCCCC2
4,107,=O
0,108,CNRCRc1ccRc[nH]1
1,108,C
2,108,=O
3,108,-c2n[nH]cc2-c2ccccc2
0,109,CCRN[C@@H]RCRRCRRF
1,109,=O
2,109,Cc1ccccc1
3,109,O
4,109,O
5,109,F
6,109,F
0,110,CSc1ccc2cRNRc1ccccc1S2
1,110,c1
2,110,CCC1CCCCN1C
0,111,CCOCRC1=CRNCR=CRC1c1ccccc1L
1,111,=O
2,111,COCCN
3,111,C
4,111,CROC
5,111,=O
0,112,CCCc1cRccc2cRnoc12
1,112,OCCCOc2ccc3cRc2
2,112,CRRF
3,112,ccn3CCRO
4,112,F
5,112,F
6,112,=O
0,113,O=C1Nc2cccRcc2CR=NC1O
1,113,L
2,113,c2ccccc2
0,114,CCCCRO[C@H]RCOPRROC[C@H]RCRO
1,114,=O
2,114,COCRCC
3,114,=O
4,114,O
5,114,N
6,114,=O
7,114,=O
0,115,COCRC1CCNRCC1
1,115,=O
2,115,CRc2cccRcc2
3,115,=O
4,115,NRCc3cnc4ncRncRc4n3
5,115,C
6,115,N
7,115,N
0,116,CNCR[C@@H]RCRRC
1,116,=O
2,116,N
3,116,C
4,116,C
0,117,Nc1ccncc1
0,118,CSCC[C@H]RCRO
1,118,NC=O
2,118,=O
0,119,CN[C@@H]R[C@@H]Rc1ccccc1
1,119,C
2,119,O
0,120,C=CC[N@+]1RCC[C@]23c4c5cccRc4O[C@H]2CRCC[C@@]3R[C@H]1C5
1,120,C
2,120,O
3,120,=O
4,120,O
0,121,CCRN/CR=N/CCC[C@@H]1NCR[C@H]RNCR[C@H]RN2CR[C@H]RNCR[C@H]2CCCN2C1=O
1,121,=O
2,121,N
3,121,=O
4,121,CCCCRO
5,121,=O
6,121,Cc2cnc[nH]2
7,121,=O
8,121,C[C@H]2O
9,121,=O
10,121,=O
0,122,CNCCCC12CCCRc1ccccc12
1,122,c3ccccc31
0,123,COc1cccRcc1C12CC3CCRC2
1,123,-c2ccc3ccRccc3c2
2,123,CCRC1
3,123,CRO
4,123,C3
5,123,=O
0,124,CCC[C@H]1COc2ccsc2CRN1
1,124,=N
0,125,COc1cccRcc1
1,125,C[C@H]2NC[C@H]R[C@H]2OCR=O
2,125,O
3,125,C
0,126,O=C1Cc2ccRcRcc2N1
1,126,CCN3CCNRCC3
2,126,L
3,126,c4nsc5ccccc45
0,127,NSRRCc1noc2ccccc12
1,127,=O
2,127,=O
0,128,Cc1cccRcn1
1,128,-c2nccRcc2-c2cccRcc2
2,128,L
3,128,SRR=O
4,128,C
5,128,=O
0,129,Cc1nnc2n1-c1cccRcc1CR=NC2
1,129,L
2,129,c1ccccc1
0,130,O=C1c2cRcccRc2CRc2cRcccRc21
1,130,O
2,130,O
3,130,=O
4,130,NCCNCCO
5,130,NCCNCCO
0,131,N[C@H]RCRO
1,131,CCCRN[C@@H]RCRO
2,131,=O
3,131,=O
4,131,Cc1c[nH]c2ccccc12
5,131,=O
0,132,CCCCCCCCCCCC1=CRCRc2scnc2C1=O
1,132,O
2,132,=O
0,133,CCOCRC1=CRNCR=CRC1c1ccccRc1L
1,133,=O
2,133,C
3,133,C
4,133,CROC
5,133,L
6,133,=O
0,134,CCRROCR[C@@H]RCCCR=O
1,134,C
2,134,C
3,134,=O
4,134,N
5,134,N
0,135,C=CCC1RCRNCRNC1=O
1,135,CRCC
2,135,=O
3,135,=O
4,135,C
0,136,O=CRCCCRO
1,136,O
2,136,=O
0,137,N=C1NCR/CRS1
1,137,=O
2,137,=C/c2cccRo2
3,137,-c3cccRcRc3
4,137,SRR=O
5,137,CRRF
6,137,N
7,137,=O
8,137,F
9,137,F
0,138,CN1CCNRCC1
1,138,C2=Nc3ccRccc3Nc3ccccc32
2,138,L
0,139,O=SRR[O-].[Mg+2]
1,139,=O
2,139,[O-]
0,140,N#Cc1cccRcc1
1,140,-c2cccRcc2
2,140,OCCCRNO
3,140,=O
0,141,O=CR[C@@H]1CCCN1
1,141,O
0,142,N[C@@H]RCRO
1,142,CCRCRO
2,142,=O
3,142,CRO
4,142,=O
5,142,=O
0,143,CO[C@H]1/C=C/O[C@@]2ROc3cRcRc4cRcRNCR/CR=C\C=C\[C@H]R[C@H]R[C@@H]R[C@@H]R[C@@H]R[C@H]R[C@@H]1C
1,143,C
2,143,C
3,143,O
4,143,O
5,143,cRcRc4c3C2=O
6,143,=O
7,143,C
8,143,C
9,143,O
10,143,C
11,143,O
12,143,C
13,143,OCR=O
14,143,/C=N/N5CCNRCC5
15,143,O
16,143,C
17,143,C
0,144,O.O.O.O.O.O.O.O.O.O=CR[C@@H]1O[Sb]2RRO[C@H]1[C@@H]RO2.[Na+].[Na+].[Na+]
1,144,[O-]
2,144,[O-]
3,144,O[Sb]34RO[C@H]R[C@@H]RO4
4,144,[C@H]RCO
5,144,O
6,144,[C@H]RO3
7,144,[C@H]RCO
8,144,O
9,144,CR[O-]
10,144,O
11,144,=O
0,145,CC/C=C\C/C=C\C/C=C\C/C=C\C=C\[C@H]RCCCCRO
1,145,O
2,145,=O
0,146,O=CRNC1CCCCC1
1,146,NCCCc1ccccc1
0,147,CCNRCRNc1cccRcRc1
1,147,CC
2,147,=O
3,147,OCCRCNCRRC
4,147,CR=O
5,147,O
6,147,C
7,147,C
8,147,C
0,148,C#CCCCn1cRnc2cRncnc21
1,148,Cc2ccRcRcRc2L
2,148,N
3,148,OC
4,148,OC
5,148,OC
0,149,CCRNCCRCOc1cccRcc1
1,149,C
2,149,O
3,149,CCOCC2CC2
0,150,Cc1cccRcc1
1,150,NRc2ccccRc2
2,150,CC2=NCCN2
3,150,O
0,151,NCRc1cc2ccR[nH]c2cc1L
1,151,=[NH2+]
2,151,-c3ccccRc3O
3,151,-c4ccccc4
0,152,Cc1nnRc2c1cRc1ccRccc1n2O
1,152,C
2,152,=O
3,152,L
0,153,Cc1ocRnc1CCOc1cccRcc1
1,153,-c2ccccc2
2,153,CC2CRNOC2=O
3,153,=O
0,154,CCR[C@H]1CC[C@H]RCC1
1,154,C
2,154,CR=N[C@H]RCRO
3,154,O
4,154,Cc2ccccc2
5,154,=O
0,155,CCNRCR[C@@]1RC[C@H]1CN
1,155,CC
2,155,=O
3,155,c2ccccc2
0,156,O=CRc1cccRcc1
1,156,N[C@H]1CCC[C@H]1NCRc1cccRs1
2,156,-n2ccccc2=O
3,156,=O
4,156,L
0,157,O=CRCRNc1sc2cRCCNC2
1,157,O
2,157,=O
3,157,c1CRO
4,157,=O
0,158,CCRRc1cccRcc1
1,158,C
2,158,c1ccccc1
3,158,O
0,159,CCC1RCRNCRNRC1=O
1,159,CC
2,159,=O
3,159,=O
4,159,C
0,160,COCRN[C@H]RCRC
1,160,=O
2,160,CRN1CCC[C@H]1c1nccR[nH]1
3,160,C
4,160,=O
5,160,-c2cccRcc2
6,160,-c3cccRcc3
7,160,-c4cncR[nH]4
8,160,[C@@H]5CCCN5CR[C@@H]RCRC
9,160,=O
10,160,NCROC
11,160,C
12,160,=O
0,161,CN/CRNCCSCc1nc[nH]c1C
1,161,=N/C#N
0,162,C[C@H]R[C@H]RC1=Nc2cRncR[nH]c2NC1
1,162,O
2,162,O
3,162,O
4,162,=N
0,163,COc1cc2ncccRc2cc1CRO
1,163,Oc3cccRcRc3
2,163,=N
3,163,NCR=NC4CC4
4,163,L
5,163,O
0,164,N#Cc1ccc2cc1Oc1ccc3ccccRN1CC[C@@H]RC1=O
1,164,c3c1
2,164,NCc3cncn3C2
0,165,C#CCNR[C@@H]1CCc2ccccc21
1,165,C
0,166,O=C1CN=CRc2ccRccc2N1CCRRF
1,166,c2ccccc2
2,166,L
3,166,F
4,166,F
0,167,CCRRc1sncRc1C[C@H]RCRO
1,167,C
2,167,C
3,167,[O-]
4,167,[NH3+]
5,167,=O
0,168,C[C@H]R[C@@H]Rn1cncRc1
1,168,O
2,168,CCc1cccc2ccccc12
3,168,CR=O
4,168,N
0,169,COC1=C2C[C@@H]RC[C@H]R[C@H]R[C@@H]R/C=CR[C@H]R[C@@H]R/C=C\C=CRCR=NCRC2=O
1,169,C
2,169,OC
3,169,O
4,169,C
5,169,\C
6,169,OCRO
7,169,OC
8,169,/C
9,169,O
10,169,=CC1=O
11,169,=N
0,170,CN1CCc2ncRsc2C1
1,170,CRN[C@@H]3CCCC[C@@H]3NCRc3cc4ccRccc4[nH]3
2,170,=O
3,170,=O
4,170,L
0,171,CC#C[C@]1RCC[C@H]2[C@@H]3CCC4=CCRCCC4=C3[C@@H]RC[C@@]21C
1,171,O
2,171,=O
3,171,c3cccRcc3
4,171,NRC
5,171,C
0,172,CCRC[C@H]RBRO
1,172,C
2,172,N=CRCN=CRc1ccRccc1L
3,172,O
4,172,O
5,172,O
6,172,L
0,173,CCR[C@@H]R[C@@H]Rc1nncRo1
1,173,C
2,173,NCRCn1cRnccRc1=O
3,173,O
4,173,CRRC
5,173,=O
6,173,-c2ccccc2
7,173,N
8,173,C
9,173,C
0,174,CCCCCCCCCCCCCCCC=O
0,175,CCCCCCCCS[C@@H]1O[C@H]R[C@@H]R[C@H]R[C@H]1O
1,175,CO
2,175,O
3,175,O
0,176,CCRNCCc1cccRcc1
1,176,=O
2,176,SRR=O
3,176,N
4,176,=O
0,177,O=C1Nc2cccRcc2[C@@]RRO1
1,177,L
2,177,C#CC2CC2
3,177,CRRF
4,177,F
5,177,F
0,178,CCCCNRCCRc1ccRcc2c1-c1cccRcc1/C2=C/c1cccRcc1
1,178,CCCC
2,178,O
3,178,L
4,178,L
5,178,L
0,179,O=CRCOPRRO
1,179,CO
2,179,=O
3,179,O
0,180,Nc1nc2cRcR[nH]1
1,180,ncn2[C@@H]2O[C@H]R[C@@H]R[C@H]2O
2,180,=O
3,180,COPRROPRRO
4,180,O
5,180,=O
6,180,O
7,180,=O
8,180,O
0,181,O=C1c2cccRcRc2CRc2cRcccRc21
1,181,O
2,181,O
3,181,=O
4,181,O
5,181,O
0,182,C=CCC1RCRNCRNC1=O
1,182,CCRC
2,182,=O
3,182,=O
4,182,C
0,183,CCRNNCRc1ccncc1
1,183,C
2,183,=O
0,184,CCCCCCCC/C=C\CCCCCCCCROC[C@H]ROCRCCCCCCC/C=C\CCCCCCCC
1,184,=O
2,184,COPRROCC[N+]RRC
3,184,=O
4,184,=O
5,184,O
6,184,C
7,184,C
0,185,CNC[C@H]Rc1cccRcRc1
1,185,O
2,185,O
3,185,O
0,186,C[C@H]1O[C@H]R[C@H]R[C@@H]R[C@@H]1N[C@H]1C=CR[C@@H]R[C@H]R[C@H]1O
1,186,O[C@@H]2[C@@H]RO[C@H]R[C@H]R[C@H]2O
2,186,O
3,186,O
4,186,CO
5,186,O
6,186,O
7,186,CO
8,186,OC[C@H]3O[C@@H]R[C@H]R[C@@H]R[C@@H]3O
9,186,O
10,186,O
11,186,O
12,186,O
0,187,CNCc1ccccc1-c1cccs1
0,188,O=CRCCCRO
1,188,O
2,188,=O
0,189,CCc1ccRcRcc1O
1,189,-c2n[nH]cRc2-c2ccc3cROCO3
2,189,O
3,189,CRO
4,189,c2
5,189,=O
0,190,CCRNc1c[nH]nc1CRNc1cccRcc1
1,190,=O
2,190,=O
3,190,F
0,191,CCCNRCCc1cccc2c1CCRN2
1,191,CCC
2,191,=O
0,192,OC[C@H]1O[C@H]R[C@H]R[C@@H]R[C@@H]1O
1,192,O[C@@H]2[C@@H]RO[C@@H]R[C@H]R[C@H]2O
2,192,O
